,yyyymm,sentiment
0,201105,0.0
1,201106,-0.3182
2,201107,0.0
3,201109,-0.3802
4,201110,0.9177
5,201111,0.8253
6,201112,0.7445
7,201201,0.9921
8,201202,-0.6647
9,201203,0.9918
10,201204,0.9217
11,201205,-0.6282
12,201206,0.992
13,201207,-0.9889
14,201208,0.9363
15,201209,0.9833
16,201210,0.9728
17,201211,0.9777
18,201212,0.9811
19,201301,0.99
20,201302,0.9983
21,201303,0.9989
22,201304,0.9939
23,201305,0.9919
24,201306,0.9966
25,201307,0.978
26,201308,0.9975
27,201309,0.9986
28,201310,0.9995
29,201311,0.9997
30,201312,0.9998
31,201401,0.9964
32,201402,0.9999
33,201403,0.9991
34,201504,-0.1027
35,201505,0.539
36,201506,-0.7838
37,201509,1.0
38,201510,1.0
39,201511,1.0
40,201512,1.0
41,201601,1.0
42,201602,1.0
43,201603,1.0
44,201604,1.0
45,201605,1.0
46,201606,1.0
47,201607,1.0
48,201608,1.0
49,201609,1.0
50,201610,1.0
51,201611,1.0
52,201612,1.0
53,201701,1.0
54,201702,1.0
55,201703,1.0
56,201704,1.0
57,201705,1.0
58,201706,1.0
59,201707,1.0
60,201708,1.0
61,201709,1.0
62,201710,1.0
63,201711,1.0
64,201712,1.0
65,201801,1.0
66,201802,1.0
67,201803,1.0
68,201804,1.0
69,201805,1.0
70,201806,1.0
71,201807,1.0
72,201808,1.0
73,201809,1.0
74,201810,1.0
75,201811,1.0
76,201812,1.0
77,201901,1.0
78,201902,1.0
79,201903,1.0
80,201904,1.0
81,201905,1.0
82,201906,1.0
83,201907,1.0
84,201908,1.0
85,201909,1.0
86,201910,1.0
87,201911,1.0
88,201912,1.0
89,202001,1.0
90,202002,1.0
91,202003,1.0
92,202004,1.0
93,202005,1.0
94,202006,1.0
95,202007,1.0
96,202008,1.0
97,202009,1.0
